Input Database;Description;Primary Interdependencies;Non-primary Interdependencies;Column names /parameters;Type;Unit;Description;Valid Values
;;;;has-cooling-season;Boolean;[-];Defines whether the scenario has a cooling season.;{TRUE, FALSE}
;;;;cooling-season-start;date;[-];Day on which the cooling season starts;mm-dd
;;;;cooling-season-end;date;[-];Last day of the cooling season;mm-dd
Envelope Systems: Construction;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the construction category;{T1..Tn}
;;;;Cm_Af;float;[J/Km2];Internal heat capacity per unit of air conditioned area. Defined according to ISO 13790.;{0.0...1}
Envelope Systems: Leakage;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the leakage category;{T1..Tn}
;;;;n50;float;[1/h];Air exchanges due to leakage at a pressure of 50 Pa.;{0.0...n}
Envelope Systems: Window;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the window category;{T1..Tn}
;;;;G_win;float;[-];Solar heat gain coefficient. Defined according to ISO 13790.;{0.0...1}
;;;;e_win;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
;;;;U_win;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
;;;;rth_win;float;[-];Reflectance in the Red spectrum.  Defined according Radiance. (long-wave);{0....1}
;;;;gtn_win;float;[-];Reflectance in the Green spectrum.  Defined according Radiance. (medium-wave);{0....1}
;;;;btn_win;float;[-];Reflectance in the Blue spectrum.  Defined according Radiance. (Short-wave);{0....1}
Envelope Systems: Roof;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the window category;{T1..Tn}
;;;;a_roof;float;[-];Solar absorption coefficient. Defined according to ISO 13790.;{0.0...1}
;;;;e_win;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
;;;;U_roof;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
;;;;r_roof;float;[-];Reflectance in the Red spectrum.  Defined according Radiance. (long-wave);{0.0....1}
;;;;g_roof;float;[-];Reflectance in the Green spectrum.  Defined according Radiance. (medium-wave);{0.0....1}
;;;;b_roof;float;[-];Reflectance in the Blue spectrum.  Defined according Radiance. (Short-wave);{0.0....1}
;;;;spec_roof;float;[-];Specularity.  Defined according Radiance.;{0.0....1}
;;;;rough_roof;float;[-];roughness.  Defined according Radiance.;{0.0....1}
Envelope Systems;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the window category;{T1..Tn}
;;;;a_wall;float;[-];Solar absorption coefficient. Defined according to ISO 13790.;{0.0...1}
;;;;e_wall;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
;;;;U_wall;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
;;;;r_wall;float;[-];Reflectance in the Red spectrum.  Defined according Radiance. (long-wave);{0.0....1}
;;;;g_wall;float;[-];Reflectance in the Green spectrum.  Defined according Radiance. (medium-wave);{0.0....1}
;;;;b_wall;float;[-];Reflectance in the Blue spectrum.  Defined according Radiance. (Short-wave);{0.0....1}
;;;;spec_wall;float;[-];Specularity.  Defined according Radiance.;{0.0....1}
;;;;rough_wall;float;[-];roughness.  Defined according Radiance.;{0.0....1}
Envelope Systems: Shading;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;;;description;string;[-];Description of component;-
;;;;code;string;[-];Unique ID of component in the window category;{T1..Tn}
;;;;rf_sh;float;[-];Shading coefficient when shading device is active. Defined according to ISO 13790.;{0.0...1}
Uncertainty Distributions;This database stores information of probability density functions of several input parameters of the CEA tool. This database is useful to perform a sensitivity analysis of input parameters and to calibrate to measured data.;;;;;;;
LCA Buildings: Embodies_Energy;This database stores information for the Life Cycle Analysis of buildings due to their construction and dismantling. This database is useful to calculate the embodied emissions and grey energy of buildings.;Relates detailed data to the primary input database of ?age? and ?occupancy?;;Description;string;[-];Describes domestic hot water (dhw), heating, cooling, ventillation and controller types.;alphanumeric
;;;;code;;;;
;;;;Tshs;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Emission Systems;This database in Excel stores information used to define the cooling and heating seasons for a given scenario.;Relates to the primary input database of Zone HVAC;;;;;;
