Database Type;Database Name;Column names /parameters;Unit;Description
;;E_Furnace_to_directload_W;W;Electrical load provided by furnace to direct load
;;E_Furnace_to_grid_W;W;Electrical load provided by furnace to grid
;;E_GHP_req_W;W;Electrical load required by the geothermal heat pump
;;E_HPLake_req_W;W;Electrical load required by the heat pump associated with lake
;;E_HPSew_req_W;W;Electrical load required by the heat pump associated with sewage
;;E_PeakBoiler_req_W;W;Electrical load required by peak boiler
;;E_PV_to_directload_W;W;Electrical load provided by photovoltaic to direct load
;;E_PV_to_grid_W;W;Electrical load provided by photovoltaic to grid
;;E_PVT_to_directload_W;W;Electrical load provided by photovoltaic thermal to direct load
;;E_PVT_to_grid_W;W;Electrical load provided by photovoltaic-thermal to grid
;;E_total_req_W;W;Total electrical load required
;;Electr_netw_total_W;W;Total electrical load required by the buildings network
;;Q_AddBoiler_W;W;Heating load provided by additional boiler
;;Q_BaseBoiler_W;W;Heating load provided by base boiler
;;Q_CHP_W;W;Heating load provided by combined heat and power plant
;;Q_compair_to_directload_W;W;Heat recovered from compressed air provided to direct load
;;Q_DHNf_W;W;Final heating load of the district heating network
;;Q_from_ACH_W;W;Cooling load provided by absorption chiller
;;Q_from_Lake_W;W;Cooling load provided by lake
;;Q_from_storage_tank_W;W;Cooling load provided by storage tank
;;Q_from_storage_used_W;W;Heating load used from the storage tank
;;Q_from_VCC_backup_W;W;cooling load provided by backup vapor compression chiller
;;Q_from_VCC_W;W;Cooling load provided by vapor compression chiller
;;Q_Furnace_W;W;Heating load provided by furnace
;;Q_GHP_W;W;Heating load provided by geothermal heat pump
;;Q_HPLake_W;W;Heating load provided by heat pump associated with lake
;;Q_HPSew_W;W;Heating load provided by heat pump associated with sewage
;;Q_PeakBoiler_W;W;Heating load provided by peak boiler
;;Q_PVT_to_directload_W;W;Heating load provided by photovoltaic-thermal to the direct load
;;Q_PVT_to_storage_W;W;Heating load provided from photovoltaic-thermal to storage tank
;;Q_SC_ET_to_directload_W;W;Heating load provided by evacuated tube collector to direct load
;;Q_SC_ET_to_storage_W;W;Heating load provided from evacuated tube collector to storage tank
;;Q_SC_FP_to_directload_W;W;Heating load provided by flat-plate collector to direct load
;;Q_SC_FP_to_storage_W;W;Heating load provided from flat-plate collector to storage tank
;;Q_server_to_directload_W;W;Heat recovered from data servers provided to direct load
;;Q_server_to_storage_W;W;Heating load recovered from data server provided to storage tank
;;Q_SOLARandPVT_gen_Wh;W;Heat generated by solar collector and photovoltaic-thermal
;;Q_storage_content_W;W;Heating content present in the storage tank
;;Q_total_cooling_W;W;Total cooling load
;Cost Analysis;Capex_a_ACH;$;Capex corresponding to absorption chiller
;;Capex_a_CCGT;$;Capex corresponding to combined cycle gas turbine
;;Capex_a_CT;$;Capex corresponding to cooling tower
;;Capex_a_pump;$;Capex corresponding to pump
;;Capex_a_Tank;$;Capex corresponding to storage tank
;;Capex_a_VCC;$;Capex corresponding to vapor compression chiller
;;Capex_a_VCC_backup;$;Capex corresponding to backup vapor compression chiller
;;Capex_Boiler_Total;$;Capex corresponding to boiler
;;Capex_Centralized;$;Capex corresponding to centralized network
;;Capex_CHP;$;Capex corresponding to combined heat and power plant
;;Capex_Decentralized;$;Capex corresponding to decentralized buildings
;;Capex_furnace;$;Capex corresponding to furnace
;;Capex_Lake;$;Capex corresponding to lake
;;Capex_pump;$;Capex corresponding to pump
;;Capex_PVT;$;Capex corresponding to photovoltaic-thermal
;;Capex_SC;$;Capex corresponding to solar collector
;;Capex_Sewage;$;Capex corresponding to sewage
;;Capex_Total;$;Total Capex costs
;;Disconnected_Capex_Boiler_BG;$;Capital costs corresponding to bio gas boiler in decentralized network
;;Disconnected_Capex_Boiler_NG;$;Capital costs corresponding to natural gas boiler in decentralized network
;;Disconnected_Capex_Direct_Expansion;$;Capital costs corresponding to cooling load provided by direct expansion in decentralized network
;;Disconnected_Capex_double_effect_ACH;$;Capital costs corresponding to cooling load provided by double effect absorption chiller in decentralized network
;;Disconnected_Capex_FC;$;Capital costs corresponding to fuel cell in decentralized network
;;Disconnected_Capex_GHP;$;Capital costs corresponding to geothermal heat pump in decentralized network
;;Disconnected_Capex_single_effect_ACH;$;Capital costs corresponding to cooling load provided by single effect absorption chiller in decentralized network
;;Disconnected_Capex_VCC;$;Capital costs corresponding to cooling load provided by vapor compression chiller in decentralized network
;;Disconnected_costs;$;Disconnected costs
;;Disconnected_Opex_Boiler_BG;$;Operating costs corresponding to bio gas boiler in decentralized network
;;Disconnected_Opex_Boiler_NG;$;Operating costs corresponding to natural gas boiler in decentralized network
;;Disconnected_Opex_Direct_Expansion;$;Operating costs corresponding to cooling load provided by direct expansion in decentralized network
;;Disconnected_Opex_double_effect_ACH;$;Operating costs corresponding to cooling load provided by double effect absorption chiller in decentralized network
;;Disconnected_Opex_FC;$;Operating costs corresponding to fuel cell in decentralized network
;;Disconnected_Opex_GHP;$;Operating costs corresponding to geothermal heat pump in decentralized network
;;Disconnected_Opex_single_effect_ACH;$;Operating costs corresponding to cooling load provided by single effect absorption chiller in decentralized network
;;Disconnected_Opex_VCC;$;Operating costs corresponding to cooling load provided by vapor compression chiller in decentralized network
;;Electricity_Costs;$;Costs corresponding to electricity consumption by the buildings
;;Opex_Boiler_Total;$;Operating cost corresponding to boiler
;;Opex_Centralized;$;Operating costs corresponding to centralized network
;;Opex_CHP_Total;$;Operating cost corresponding to combined cycle heat pump
;;Opex_Decentralized;$;Operating costs corresponding to decentralized buildings
;;Opex_Furnace_Total;$;Operating cost corresponding to furnace
;;Opex_GHP;$;Operating cost corresponding to geothermal heat pump
;;Opex_HP_Lake;$;Operating cost corresponding to lake
;;Opex_HP_Sewage;$;Operating cost corresponding to sewage
;;Opex_Total;$;Total operation costs
;;Opex_var_ACH;$;Operating costs corresponding to absorption chiller
;;Opex_var_CCGT;$;Operating costs corresponding to combined cycle gas turbine
;;Opex_var_CT;$;Operating costs corresponding to cooling tower
;;Opex_var_Lake;$;Operating costs corresponding to lake
;;Opex_var_pump;$;Operating costs corresponding to pump
;;Opex_var_VCC;$;Operating costs corresponding to vapor compression chiller
;;Opex_var_VCC_backup;$;Operating costs corresponding to backup vapor compression chiller
;Emissions and Primary Energy;E_ghg_kgm2;kg CO2-eq/m2.yr;Grey emissions
;;E_ghg_ton;ton CO2-eq/yr;Grey emissions
;;E_nre_pen_GJ;GJ/yr;Grey energy
;;E_nre_pen_MJm2;MJ/m2.yr;Grey energy
;;M_ghg_kgm2;kg CO2-eq/m2.yr;Mobility emissions
;;M_ghg_ton;ton CO2-eq/yr;Mobility emissions
;;M_nre_pen_GJ;GJ/yr;Mobility energy
;;M_nre_pen_MJm2;MJ/m2.yr;Mobility energy
;;O_ghg_kgm2;kg CO2-eq/m2.yr;Operation emissions
;;O_ghg_ton;ton CO2-eq/yr;Operation emissions
;;O_nre_pen_GJ;GJ/yr;Operation energy
;;O_nre_pen_MJm2;MJ/m2.yr;Operation energy
;Thermal Network;P_loss_%;%;Pumping energy
;;P_loss_kWh;kWh;Pumping energy
;;Q_dem_cool;kWh;Aggregated cooling load supplied by network
;;Q_dem_heat;kWh;Aggregated heat supplied by network
;;Q_loss_%;%;Network thermal loss
;;Q_loss_kWh;kWh;Network thermal loss
;;T_ret_C;C;Plant return temperature
;;T_sup_C;C;Plant supply temperature
;Operation costs;COAL_hs_cost_yr;$/yr;Operation costs of coal due to space heating
;;COAL_ww_cost_yr;$/yr;Operation costs of coal due to hotwater
;;DC_cdata_cost_yr;$/yr;Operation costs due to space heating
;;DC_cre_cost_yr;$/yr;Operation costs due to space cooling
;;DC_cs_cost_yr;$/yr;Operation costs due to space cooling
;;DH_hs_cost_yr;$/yr;Operation costs due to space heating
;;DH_ww_cost_yr;$/yr;Operation costs due to hotwater
;;GRID_cost_yr;$/yr;Operation due to total electricity from the grid
;;NG_hs_cost_yr;$/yr;Operation costs of NG due to space heating
;;NG_ww_cost_yr;$/yr;Operation costs of NG due to hotwater
;;OIL_hs_cost_yr;$/yr;Operation costs of oil due to space heating
;;OIL_ww_cost_yr;$/yr;Operation costs of oil due to hotwater
;;PV_cost_yr;$/yr;Operation due to total electricity from PV
;;SOLAR_hs_cost_yr;$/yr;Operation costs due to solar collectors for hotwater
;;SOLAR_ww_cost_yr;$/yr;Operation costs due to solar collectors for space heating
;;WOOD_hs_cost_yr;$/yr;Operation costs of wood due to space heating
;;WOOD_ww_cost_yr;$/yr;Operation costs of wood due to hotwater
;end of gloss;;;
