FILE;VARIABLE;DTYPE;UNIT;SHORT_DESCRIPTION;VALUES
construction_properties.xlsx:ARCHITECTURE;standard;string;[-];Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R);{C or R}
construction_properties.xlsx:ARCHITECTURE;Hs;float;[-];Fraction of heated space in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;win_wall;float;[-];Window to wall ratio in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;wwr_north;float;[-];Window to wall ratio in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;wwr_south;float;[-];Window to wall ratio in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;wwr_east;float;[-];Window to wall ratio in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;wwr_west;float;[-];Window to wall ratio in building archetype;{0.0...1}
construction_properties.xlsx:ARCHITECTURE;type_cons;string;[code];Type of construction. It relates to the contents of the default database of Envelope Properties: construction;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;type_leak;string;[code];Leakage level. It relates to the contents of the default database of Envelope Properties: leakage;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;type_win;string;[code];Window type. It relates to the contents of the default database of Envelope Properties: windows;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;type_roof;string;[code];Roof construction. It relates to the contents of the default database of Envelope Properties: roof;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;type_wall;string;[code];Wall construction. It relates to the contents of the default database of Envelope Properties: walll;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;type_shade;string;[code];Shading system type. It relates to the contents of the default database of Envelope Properties: shade;{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;void_dek;float;[floor/floor];Share of floors with an open envelope (default = 0);{0.0...1}
construction_properties.xlsx:SUPPLY;building_use;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;Those stored in Zone_occupancy
construction_properties.xlsx:SUPPLY;year_start;int;[yr];Lower limit of year interval where the building properties apply;{0...n}
construction_properties.xlsx:SUPPLY;year_end;int;[yr];Upper limit of year interval where the building properties apply;{0...n}
construction_properties.xlsx:SUPPLY;standard;string;[-];Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R);{C or R}
construction_properties.xlsx:SUPPLY;type_hs;string;[code];Type of heating supply system;{T0...Tn}
construction_properties.xlsx:SUPPLY;type_dhw;string;[code];Type of hot water supply system;{T0...Tn}
construction_properties.xlsx:SUPPLY;type_cs;string;[code];Type of cooling supply system;{T0...Tn}
construction_properties.xlsx:SUPPLY;type_el;string;[code];Type of electrical supply system;{T0...Tn}
construction_properties.xlsx:HVAC;building_use;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;[-]
construction_properties.xlsx:HVAC;year_start;int;[yr];Lower limit of year interval where the building properties apply;{0...n}
construction_properties.xlsx:HVAC;year_end;int;[yr];Upper limit of year interval where the building properties apply;{0...n}
construction_properties.xlsx:HVAC;standard;string;[-];Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R);{C or R}
construction_properties.xlsx:HVAC;type_hs;string;[code];Type of heating supply system;{T0...Tn}
construction_properties.xlsx:HVAC;type_cs;string;[code];Type of cooling supply system;{T0...Tn}
construction_properties.xlsx:HVAC;type_dhw;string;[code];Type of hot water supply system;{T0...Tn}
construction_properties.xlsx:HVAC;type_ctrl;string;[code];Type of control system;{T0...Tn}
construction_properties.xlsx:HVAC;type_vent;string;[code];Type of ventilation system;{T0...Tn}
occupancy_schedules.xlsx:COOLROOM;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
occupancy_schedules.xlsx:COOLROOM;Weekday_1;float;[p/p];Probability of maximum occupancy per hour in a weekday;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Saturday_1;float;[p/p];Probability of maximum occupancy per hour on Saturday;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Sunday_1;float;[p/p];Probability of maximum occupancy per hour on Sunday;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Weekday_2;float;[p/p];Probability of use of lighting and applicances (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Saturday_2;float;[p/p];Probability of use of lighting and applicances (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Sunday_2;float;[p/p];Probability of use of lighting and applicances (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Weekday_3;float;[p/p];Probability of domestic hot water consumption (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Saturday_3;float;[p/p];Probability of domestic hot water consumption (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;Sunday_3;float;[p/p];Probability of domestic hot water consumption (daily) for each hour;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;month;float;[p/p];Probability of use for the month;{0.0...1}
occupancy_schedules.xlsx:COOLROOM;density;float;[m2/p];m2 per person;{0.0...n}
system_controls.xlsx:heating_cooling;has-heating-season;Boolean;[-];Defines whether the scenario has a heating season.;{TRUE/FALSE}
system_controls.xlsx:heating_cooling;heating-season-start;date;[-];Day on which the heating season starts;mm-dd
system_controls.xlsx:heating_cooling;heating-season-end;date;[-];Last day of the heating season;mm-dd
system_controls.xlsx:heating_cooling;has-cooling-season;Boolean;[-];Defines whether the scenario has a cooling season.;{TRUE/FALSE}
system_controls.xlsx:heating_cooling;cooling-season-start;date;[-];Day on which the cooling season starts;mm-dd
system_controls.xlsx:heating_cooling;cooling-season-end;date;[-];Last day of the cooling season;mm-dd
benchmark_2000W.xls:EMBODIED;code;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;Those stored in Zone_occupancy
benchmark_2000W.xls:EMBODIED;NRE_today;float;[-];Present non-renewable energy consumption;{0.0...n}
benchmark_2000W.xls:EMBODIED;CO2_today;float;[-];Present CO2 production;{0.0...n}
benchmark_2000W.xls:EMBODIED;PEN_today;float;[-];Present primary energy demand;{0.0...n}
benchmark_2000W.xls:EMBODIED;NRE_target_retrofit;float;[-];Target non-renewable energy consumption for retrofitted buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;CO2_target_retrofit;float;[-];Target CO2 production for retrofitted buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;PEN_target_retrofit;float;[-];Target primary energy demand for retrofitted buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;NRE_target_new;float;[-];Target non-renewable energy consumption for newly constructed buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;CO2_target_new;float;[-];Target CO2 production for newly constructed buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;PEN_target_new;float;[-];Target primary energy demand for newly constructed buildings;{0.0...n}
benchmark_2000W.xls:EMBODIED;Description;string;[-];Describes the source of the benchmark standards.;[-]
supply_systems.xls:Piping;Description;string;[DN#];Classifies nominal pipe diameters (DN) into typical bins. E.g. DN100 refers to pipes of approx. 100mm in diameter.;alphanumeric
supply_systems.xls:Piping;Diameter_max;float;[-];Defines the maximum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0....n}
supply_systems.xls:Piping;Diameter_min;float;[-];Defines the minimum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0....n}
supply_systems.xls:Piping;Unit;string;[mm];Defines the unit of measurement for the diameter values.;[-]
supply_systems.xls:Piping;Investment;float;[$/m];Typical cost of investment for a given pipe diameter.;{0.0....n}
supply_systems.xls:Piping;Currency;string;[-];Defines the unit of currency used to create the cost estimations (year specific). E.g. USD-2015.;[-]
LCA_buildings.xlsx:EMBODIED_ENERGY;building_use;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;Those stored in Zone_occupancy
LCA_buildings.xlsx:EMBODIED_ENERGY;year_start;int;[-];Lower limit of year interval where the building properties apply;{0...n}
LCA_buildings.xlsx:EMBODIED_ENERGY;year_end;int;[-];Upper limit of year interval where the building properties apply;{0...n}
LCA_buildings.xlsx:EMBODIED_ENERGY;standard;string;[-];Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R);{C or R}
LCA_buildings.xlsx:EMBODIED_ENERGY;Wall_ext_ag;float;[GJ];Typical embodied energy of the exterior above ground walls.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Wall_ext_bg;float;[GJ];Typical embodied energy of the exterior below ground walls.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Floor_int;float;[GJ];Typical embodied energy of the interior floor.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Wall_int_sup;float;[GJ];;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Wall_int_nosup;float;[GJ];;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Roof;float;[GJ];Typical embodied energy of the roof.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Floor_g;float;[GJ];Typical embodied energy of the ground floor.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Services;float;[GJ];Typical embodied energy of the building services.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Win_ext;float;[GJ];Typical embodied energy of the external glazing.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_ENERGY;Excavation;float;[GJ];Typical embodied energy for site excavation.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;building_use;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;Those stored in Zone_occupancy
LCA_buildings.xlsx:EMBODIED_EMISSIONS;year_start;int;[-];Lower limit of year interval where the building properties apply;{0...n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;year_end;int;[-];Upper limit of year interval where the building properties apply;{0...n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;standard;string;[-];Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R);{C or R}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Wall_ext_ag;float;[kgCO2];Typical embodied CO2 equivalent emissions of the exterior above ground walls.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Wall_ext_bg;float;[kgCO2];Typical embodied CO2 equivalent emissions of the exterior below ground walls.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Floor_int;float;[kgCO2];Typical embodied CO2 equivalent emissions of the interior floor.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Wall_int_sup;float;[kgCO2];;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Wall_int_nosup;float;[kgCO2];;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Roof;float;[kgCO2];Typical embodied CO2 equivalent emissions of the roof.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Floor_g;float;[kgCO2];Typical embodied CO2 equivalent emissions of the ground floor.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Services;float;[kgCO2];Typical embodied CO2 equivalent emissions of the building services.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Win_ext;float;[kgCO2];Typical embodied CO2 equivalent emissions of the external glazing.;{0.0....n}
LCA_buildings.xlsx:EMBODIED_EMISSIONS;Excavation;float;[kgCO2];Typical embodied CO2 equivalent emissions for site excavation.;{0.0....n}
LCA_infrastructure.xlsx:RESOURCES;Description;string;[-];Description of the heating and cooling network (related to the code). E.g. heatpump -soil/water;[-]
LCA_infrastructure.xlsx:RESOURCES;code;string;[-];Unique ID of component of the heating and cooling network;{T1..Tn}
LCA_infrastructure.xlsx:RESOURCES;PEN;float;[kWh/kWh];Refers to the amount of primary energy needed (PEN) to run the heating or cooling system.;{0.0....n}
LCA_infrastructure.xlsx:RESOURCES;CO2;float;[kg/kWh];Refers to the equivalent CO2 required to run the heating or cooling system.;{0.0....n}
LCA_infrastructure.xlsx:RESOURCES;costs_kWh;float;[$/kWh];Refers to the financial costs required to run the heating or cooling system.;{0.0....n}
emission_systems.xls:dhw;Description;string;[-];Description of the typical supply and return temperatures related to HVAC: hot water and sanitation.;[-]
emission_systems.xls:dhw;code;string;[-];Unique ID of component of the typical supply and return temperature bins.;{T1..Tn}
emission_systems.xls:dhw;Tsww0_C;float;[C];Typical supply water temperature.;{0.0....n}
emission_systems.xls:dhw;Qwwmax_Wm2;float;[W/m2];Maximum heat flow permitted by the distribution system per m2 of the exchange interface (e.g. floor/radiator heating area).;{0.0....n}
envelope_systems.xls:CONSTRUCTION;description;string;[-];Description of component;[-]
envelope_systems.xls:CONSTRUCTION;code;string;[-];Unique ID of component in the construction category;{T1..Tn}
envelope_systems.xls:CONSTRUCTION;Cm_Af;float;[J/Km2];Internal heat capacity per unit of air conditioned area. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:LEAKAGE;description;string;[-];Description of component;[-]
envelope_systems.xls:LEAKAGE;code;string;[-];Unique ID of component in the leakage category;{T1..Tn}
envelope_systems.xls:LEAKAGE;n50;float;[1/h];Air exchanges due to leakage at a pressure of 50 Pa.;{0.0...n}
envelope_systems.xls:WINDOW;description;string;[-];Description of component;[-]
envelope_systems.xls:WINDOW;code;string;[-];Unique ID of component in the window category;{T1..Tn}
envelope_systems.xls:WINDOW;G_win;float;[-];Solar heat gain coefficient. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:WINDOW;e_win;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:WINDOW;U_win;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
envelope_systems.xls:ROOF;description;string;[-];Description of component;[-]
envelope_systems.xls:ROOF;code;string;[-];Unique ID of component in the window category;{T1..Tn}
envelope_systems.xls:ROOF;a_roof;float;[-];Solar absorption coefficient. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:ROOF;e_roof;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:ROOF;U_roof;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
envelope_systems.xls:ROOF;r_roof;float;[-];Reflectance in the Red spectrum. Defined according Radiance. (long-wave);{0.0...1}
envelope_systems.xls:WALL;description;string;[-];Description of component;[-]
envelope_systems.xls:WALL;code;string;[-];Unique ID of component in the window category;{T1..Tn}
envelope_systems.xls:WALL;a_wall;float;[-];Solar absorption coefficient. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:WALL;e_wall;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:WALL;U_wall;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
envelope_systems.xls:WALL;r_wall;float;[-];Reflectance in the Red spectrum. Defined according Radiance. (long-wave);{0.0...1}
envelope_systems.xls:WALL;U_base;float;[-];Thermal transmittance of basement including linear losses (+10%). Defined according to ISO 13790.;{0.0...1}
envelope_systems.xls:SHADING;description;string;[-];Description of component;[-]
envelope_systems.xls:SHADING;code;string;[-];Unique ID of component in the window category;{T1...Tn}
envelope_systems.xls:SHADING;rf_sh;float;[-];Shading coefficient when shading device is active. Defined according to ISO 13790.;{0.0...1}
thermal_networks.xls:PIPING CATALOG;Pipe_DN;string;[DN#];Classifies nominal pipe diameters (DN) into typical bins. E.g. DN100 refers to pipes of approx. 100mm in diameter.;alphanumeric
thermal_networks.xls:PIPING CATALOG;D_ext_m;float;[m];Defines the maximum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0...n}
thermal_networks.xls:PIPING CATALOG;D_int_m;float;[m];Defines the minimum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0...n}
thermal_networks.xls:PIPING CATALOG;D_ins_m;float;[m];Defines the pipe insulation diameter for the nominal diameter (DN) bin.;{0.0...n}
thermal_networks.xls:PIPING CATALOG;Vdot_min_m3s;float;[m3/s];Minimum volume flow rate for the nominal diameter (DN) bin.;{0.0...n}
thermal_networks.xls:PIPING CATALOG;Vdot_max_m3s;float;[m3/s];Maximum volume flow rate for the nominal diameter (DN) bin.;{0.0...n}
thermal_networks.xls:MATERIAL PROPERTIES;Material;string;[-];Material;[-]
thermal_networks.xls:MATERIAL PROPERTIES;Code;string;[-];Unique code for the material of the pipe.;[-]
thermal_networks.xls:MATERIAL PROPERTIES;lambda_WmK;float;[W/mK];Thermal conductivity;{0.0...n}
thermal_networks.xls:MATERIAL PROPERTIES;rho_kgm3;float;[kg/m3];Density of transmission fluid.;{0.0...n}
thermal_networks.xls:MATERIAL PROPERTIES;Cp_JkgK;float;[J/kgK];Heat capacity of transmission fluid.;{0.0...n}
uncertainty_distributions.xls:envelope;name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
uncertainty_distributions.xls:envelope;distribution;string;[-];Type of random distribution;{0.0...n}
uncertainty_distributions.xls:envelope;mu;float;[-];Mu value;{0.0...n}
uncertainty_distributions.xls:envelope;stdv;float;[-];Standard Deviation;{0.0...n}
uncertainty_distributions.xls:envelope;min;float;[-];Minimum;{0.0...n}
uncertainty_distributions.xls:envelope;max;float;[-];Maximum;{0.0...n}
uncertainty_distributions.xls:envelope;reference;string;[-];;[-]
B001.csv;COAL_hs_kWh;float;[kWh];Coal consumption due to space heating;{0.0...n}
B001.csv;COAL_ww_kWh;float;[kWh];Coal consumption due to hotwater;{0.0...n}
B001.csv;DATE;date;[smalldatetime];Time stamp for each day of the year ascending in hour intervals.;YYYY-MM-DD hh:mm:ss
B001.csv;DC_cdata_kWh;float;[kWh];District cooling for data center cooling demand;{0.0...n}
B001.csv;DC_cre_kWh;float;[kWh];District cooling for refrigeration demand;{0.0...n}
B001.csv;DC_cs_kWh;float;[kWh];District cooling for space cooling demand;{0.0...n}
B001.csv;DH_hs_kWh;float;[kWh];District heating for space heating demand;{0.0...n}
B001.csv;DH_ww_kWh;float;[kWh];District heating for hotwater demand;{0.0...n}
B001.csv;E_cdata_kWh;float;[kWh];Data centre cooling specific electricity consumption.;{0.0...n}
B001.csv;E_cre_kWh;float;[kWh];Refrigeration system electricity consumption.;{0.0...n}
B001.csv;E_cs_kWh;float;[kWh];Cooling system electricity consumption.;{0.0...n}
B001.csv;E_hs_kWh;float;[kWh];Heating system electricity consumption.;{0.0...n}
B001.csv;E_sys_kWh;float;[kWh];End-use electricity demand;{0.0...n}
B001.csv;E_ww_kWh;float;[kWh];DHW electricity consumption.;{0.0...n}
B001.csv;Eal_kWh;float;[kWh];Electricity consumption of appliances and lights;{0.0...n}
B001.csv;Eaux_kWh;float;[kWh];Auxiliary electricity consumption.;{0.0...n}
B001.csv;Edata_kWh;float;[kWh];Data centre electricity consumption.;{0.0...n}
B001.csv;Epro_kWh;float;[kWh];Electricity consumption for industrial processes.;{0.0...n}
B001.csv;GRID_kWh;float;[kWh];Grid electricity consumption;{0.0...n}
B001.csv;I_rad_kWh;float;[kWh];Radiative heat loss;{0.0...n}
B001.csv;I_sol_and_I_rad_kWh;float;[kWh];Net radiative heat gain;{0.0...n}
B001.csv;I_sol_kWh;float;[kWh];Solar heat gain;{0.0...n}
B001.csv;mcpcdata_sys_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat capacity) of the chilled water delivered to data centre.;{0.0...n}
B001.csv;mcpcre_sys_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the chilled water delivered to refrigeration.;{0.0...n}
B001.csv;mcpcs_sys_ahu_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the chilled water delivered to air handling units (space cooling).;{0.0...n}
B001.csv;mcpcs_sys_aru_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the chilled water delivered to air recirculation units (space cooling).;{0.0...n}
B001.csv;mcpcs_sys_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the chilled water delivered to space cooling.;{0.0...n}
