,PRICE TYPE,DATE,PERIOD,PRICE ($/MWh),DEMAND (MW)
201,USEP,05 Jan 2005,10,61.6,3122.348
202,USEP,05 Jan 2005,11,63.52,3168.614
203,USEP,05 Jan 2005,12,65.07,3256.175
204,USEP,05 Jan 2005,13,67.07,3364.77
205,USEP,05 Jan 2005,14,70.25,3483.289
206,USEP,05 Jan 2005,15,65.3,3672.268
207,USEP,05 Jan 2005,16,74.31,3927.478
208,USEP,05 Jan 2005,17,80.45,4163.563
209,USEP,05 Jan 2005,18,77.5,4335.251
210,USEP,05 Jan 2005,19,77.5,4438.061
211,USEP,05 Jan 2005,20,77.52,4500.469
212,USEP,05 Jan 2005,21,86.77,4557.853
213,USEP,05 Jan 2005,22,88.29,4606.937
214,USEP,05 Jan 2005,23,88.32,4620.097
215,USEP,05 Jan 2005,24,81.57,4575.412
216,USEP,05 Jan 2005,25,77.75,4551.76
217,USEP,05 Jan 2005,26,78.4,4564.175
218,USEP,05 Jan 2005,27,77.72,4605.724
219,USEP,05 Jan 2005,28,78.41,4627.045
220,USEP,05 Jan 2005,29,77.57,4633.283
221,USEP,05 Jan 2005,30,77.57,4628.854
222,USEP,05 Jan 2005,31,77.61,4630.499
223,USEP,05 Jan 2005,32,77.62,4646.05
224,USEP,05 Jan 2005,33,77.63,4645.389
225,USEP,05 Jan 2005,34,77.57,4619.426
226,USEP,05 Jan 2005,35,77.53,4549.354
227,USEP,05 Jan 2005,36,77.3,4434.602
228,USEP,05 Jan 2005,37,76.67,4356.941
229,USEP,05 Jan 2005,38,77.24,4375.832
230,USEP,05 Jan 2005,39,77.24,4386.567
231,USEP,05 Jan 2005,40,77.22,4355.077
232,USEP,05 Jan 2005,41,77.51,4311.55
233,USEP,05 Jan 2005,42,77.74,4237.666
234,USEP,05 Jan 2005,43,77.54,4153.225
235,USEP,05 Jan 2005,44,77.39,4036.057
236,USEP,05 Jan 2005,45,77.39,3914.824
237,USEP,05 Jan 2005,46,77.39,3799.923
238,USEP,05 Jan 2005,47,75.51,3687.337
239,USEP,05 Jan 2005,48,70.37,3529.838
240,USEP,06 Jan 2005,1,76.62,3406.771
241,USEP,06 Jan 2005,2,71.55,3323.26
242,USEP,06 Jan 2005,3,71.19,3297.6
243,USEP,06 Jan 2005,4,70.14,3253.983
244,USEP,06 Jan 2005,5,65.33,3210.63
245,USEP,06 Jan 2005,6,65.19,3176.725
246,USEP,06 Jan 2005,7,61.0,3147.223
247,USEP,06 Jan 2005,8,60.59,3136.408
248,USEP,06 Jan 2005,9,60.51,3132.482
249,USEP,06 Jan 2005,10,65.29,3160.02
250,USEP,06 Jan 2005,11,70.21,3213.761
251,USEP,06 Jan 2005,12,74.19,3309.901
252,USEP,06 Jan 2005,13,76.63,3414.539
253,USEP,06 Jan 2005,14,77.17,3521.722
254,USEP,06 Jan 2005,15,74.34,3707.883
255,USEP,06 Jan 2005,16,76.69,3958.858
256,USEP,06 Jan 2005,17,78.41,4195.664
257,USEP,06 Jan 2005,18,76.46,4353.476
258,USEP,06 Jan 2005,19,76.48,4480.604
259,USEP,06 Jan 2005,20,77.49,4555.969
260,USEP,06 Jan 2005,21,77.69,4615.4
261,USEP,06 Jan 2005,22,77.72,4649.982
262,USEP,06 Jan 2005,23,77.99,4653.068
263,USEP,06 Jan 2005,24,78.02,4662.039
264,USEP,06 Jan 2005,25,77.7,4599.049
265,USEP,06 Jan 2005,26,77.75,4609.153
266,USEP,06 Jan 2005,27,77.9,4658.808
267,USEP,06 Jan 2005,28,78.37,4683.967
268,USEP,06 Jan 2005,29,78.39,4681.551
269,USEP,06 Jan 2005,30,78.4,4674.017
270,USEP,06 Jan 2005,31,77.83,4671.725
271,USEP,06 Jan 2005,32,78.7,4683.494
272,USEP,06 Jan 2005,33,78.7,4679.409
273,USEP,06 Jan 2005,34,78.36,4645.633
274,USEP,06 Jan 2005,35,77.7,4566.6
275,USEP,06 Jan 2005,36,76.64,4426.371
276,USEP,06 Jan 2005,37,75.72,4333.065
277,USEP,06 Jan 2005,38,76.02,4355.917
278,USEP,06 Jan 2005,39,76.43,4387.039
279,USEP,06 Jan 2005,40,76.63,4355.271
280,USEP,06 Jan 2005,41,79.71,4296.659
281,USEP,06 Jan 2005,42,84.8,4229.723
282,USEP,06 Jan 2005,43,87.82,4141.034
283,USEP,06 Jan 2005,44,84.81,4039.974
284,USEP,06 Jan 2005,45,82.13,3912.399
285,USEP,06 Jan 2005,46,77.4,3791.315
286,USEP,06 Jan 2005,47,74.28,3671.727
287,USEP,06 Jan 2005,48,70.36,3527.184
288,USEP,07 Jan 2005,1,74.36,3412.7
289,USEP,07 Jan 2005,2,74.19,3336.749
290,USEP,07 Jan 2005,3,71.55,3308.385
291,USEP,07 Jan 2005,4,70.85,3243.82
292,USEP,07 Jan 2005,5,70.21,3206.768
293,USEP,07 Jan 2005,6,66.09,3182.296
294,USEP,07 Jan 2005,7,65.29,3155.468
295,USEP,07 Jan 2005,8,65.18,3145.414
296,USEP,07 Jan 2005,9,65.09,3133.038
297,USEP,07 Jan 2005,10,65.28,3166.288
298,USEP,07 Jan 2005,11,70.32,3233.084
299,USEP,07 Jan 2005,12,71.54,3340.441
300,USEP,07 Jan 2005,13,71.21,3447.5
301,USEP,07 Jan 2005,14,70.36,3524.456
302,USEP,07 Jan 2005,15,65.36,3684.226
303,USEP,07 Jan 2005,16,74.27,3927.672
304,USEP,07 Jan 2005,17,80.37,4169.939
305,USEP,07 Jan 2005,18,76.62,4349.714
306,USEP,07 Jan 2005,19,77.58,4470.286
307,USEP,07 Jan 2005,20,77.8,4532.625
308,USEP,07 Jan 2005,21,80.65,4590.138
309,USEP,07 Jan 2005,22,81.21,4618.129
310,USEP,07 Jan 2005,23,81.48,4636.975
311,USEP,07 Jan 2005,24,81.22,4620.057
312,USEP,07 Jan 2005,25,77.44,4583.423
313,USEP,07 Jan 2005,26,77.17,4594.929
314,USEP,07 Jan 2005,27,77.44,4639.177
315,USEP,07 Jan 2005,28,77.7,4674.464
316,USEP,07 Jan 2005,29,77.51,4670.682
317,USEP,07 Jan 2005,30,77.51,4666.969
318,USEP,07 Jan 2005,31,77.74,4659.594
319,USEP,07 Jan 2005,32,77.77,4667.367
320,USEP,07 Jan 2005,33,77.71,4651.408
321,USEP,07 Jan 2005,34,77.35,4613.542
322,USEP,07 Jan 2005,35,77.03,4554.831
323,USEP,07 Jan 2005,36,76.95,4444.765
324,USEP,07 Jan 2005,37,76.61,4353.834
325,USEP,07 Jan 2005,38,76.62,4357.696
326,USEP,07 Jan 2005,39,76.67,4379.35
327,USEP,07 Jan 2005,40,76.65,4337.597
328,USEP,07 Jan 2005,41,77.24,4288.504
329,USEP,07 Jan 2005,42,76.93,4207.363
330,USEP,07 Jan 2005,43,76.69,4110.548
331,USEP,07 Jan 2005,44,77.39,3998.156
332,USEP,07 Jan 2005,45,77.58,3871.019
333,USEP,07 Jan 2005,46,77.34,3753.324
334,USEP,07 Jan 2005,47,77.25,3652.692
335,USEP,07 Jan 2005,48,70.69,3546.403
336,USEP,08 Jan 2005,1,75.47,3453.867
337,USEP,08 Jan 2005,2,75.5,3391.145
338,USEP,08 Jan 2005,3,75.29,3333.851
339,USEP,08 Jan 2005,4,75.26,3278.729
340,USEP,08 Jan 2005,5,74.3,3226.251
341,USEP,08 Jan 2005,6,74.33,3186.267
342,USEP,08 Jan 2005,7,71.08,3164.767
343,USEP,08 Jan 2005,8,71.07,3159.692
344,USEP,08 Jan 2005,9,70.24,3143.212
345,USEP,08 Jan 2005,10,70.11,3143.535
346,USEP,08 Jan 2005,11,70.32,3199.8
347,USEP,08 Jan 2005,12,71.25,3274.137
348,USEP,08 Jan 2005,13,71.15,3317.202
349,USEP,08 Jan 2005,14,66.08,3294.146
350,USEP,08 Jan 2005,15,66.11,3343.955
351,USEP,08 Jan 2005,16,75.2,3540.047
352,USEP,08 Jan 2005,17,66.06,3754.348
353,USEP,08 Jan 2005,18,74.45,3911.589
354,USEP,08 Jan 2005,19,73.54,4015.447
355,USEP,08 Jan 2005,20,73.71,4101.711
356,USEP,08 Jan 2005,21,74.38,4155.949
357,USEP,08 Jan 2005,22,74.47,4192.578
358,USEP,08 Jan 2005,23,74.43,4187.359
359,USEP,08 Jan 2005,24,74.46,4158.275
360,USEP,08 Jan 2005,25,73.57,4104.887
361,USEP,08 Jan 2005,26,73.55,4056.037
362,USEP,08 Jan 2005,27,71.15,4006.332
363,USEP,08 Jan 2005,28,70.6,3961.264
364,USEP,08 Jan 2005,29,69.12,3924.551
365,USEP,08 Jan 2005,30,69.11,3888.439
366,USEP,08 Jan 2005,31,69.14,3876.227
367,USEP,08 Jan 2005,32,70.73,3860.666
368,USEP,08 Jan 2005,33,71.21,3848.311
369,USEP,08 Jan 2005,34,70.71,3800.256
370,USEP,08 Jan 2005,35,70.38,3759.124
371,USEP,08 Jan 2005,36,70.38,3745.541
372,USEP,08 Jan 2005,37,70.67,3779.889
373,USEP,08 Jan 2005,38,73.57,3882.35
374,USEP,08 Jan 2005,39,73.68,3946.304
375,USEP,08 Jan 2005,40,74.17,3927.965
376,USEP,08 Jan 2005,41,74.2,3893.498
377,USEP,08 Jan 2005,42,73.69,3852.297
378,USEP,08 Jan 2005,43,73.64,3811.438
379,USEP,08 Jan 2005,44,71.16,3728.936
380,USEP,08 Jan 2005,45,67.93,3631.534
381,USEP,08 Jan 2005,46,66.19,3548.848
382,USEP,08 Jan 2005,47,69.36,3506.643
383,USEP,08 Jan 2005,48,65.82,3388.168
384,USEP,09 Jan 2005,1,74.29,3274.967
385,USEP,09 Jan 2005,2,70.91,3221.137
386,USEP,09 Jan 2005,3,66.11,3177.082
387,USEP,09 Jan 2005,4,65.18,3124.753
388,USEP,09 Jan 2005,5,64.02,3079.78
389,USEP,09 Jan 2005,6,62.97,3046.69
390,USEP,09 Jan 2005,7,62.97,3021.825
391,USEP,09 Jan 2005,8,61.6,2999.325
392,USEP,09 Jan 2005,9,61.55,2978.789
393,USEP,09 Jan 2005,10,61.59,2984.724
394,USEP,09 Jan 2005,11,61.6,3000.946
395,USEP,09 Jan 2005,12,63.51,3061.167
396,USEP,09 Jan 2005,13,63.99,3092.995
397,USEP,09 Jan 2005,14,63.52,3070.923
398,USEP,09 Jan 2005,15,63.52,3055.655
399,USEP,09 Jan 2005,16,65.19,3121.94
400,USEP,09 Jan 2005,17,65.26,3226.271
401,USEP,09 Jan 2005,18,65.41,3324.836
402,USEP,09 Jan 2005,19,65.5,3415.096
403,USEP,09 Jan 2005,20,66.04,3479.815
404,USEP,09 Jan 2005,21,66.12,3504.148
405,USEP,09 Jan 2005,22,69.56,3577.838
406,USEP,09 Jan 2005,23,71.52,3605.362
407,USEP,09 Jan 2005,24,73.51,3603.205
408,USEP,09 Jan 2005,25,73.92,3583.236
409,USEP,09 Jan 2005,26,72.22,3594.771
410,USEP,09 Jan 2005,27,72.24,3598.116
411,USEP,09 Jan 2005,28,72.26,3591.61
412,USEP,09 Jan 2005,29,72.35,3609.989
413,USEP,09 Jan 2005,30,72.13,3579.339
414,USEP,09 Jan 2005,31,87.29,3578.668
415,USEP,09 Jan 2005,32,87.35,3576.278
416,USEP,09 Jan 2005,33,93.3,3576.825
417,USEP,09 Jan 2005,34,91.12,3557.665
418,USEP,09 Jan 2005,35,90.89,3526.906
419,USEP,09 Jan 2005,36,90.84,3535.738
420,USEP,09 Jan 2005,37,90.84,3589.264
421,USEP,09 Jan 2005,38,76.33,3695.652
422,USEP,09 Jan 2005,39,76.46,3785.634
423,USEP,09 Jan 2005,40,76.48,3803.924
424,USEP,09 Jan 2005,41,76.48,3822.815
425,USEP,09 Jan 2005,42,76.48,3819.544
426,USEP,09 Jan 2005,43,76.72,3810.116
427,USEP,09 Jan 2005,44,76.48,3757.236
428,USEP,09 Jan 2005,45,73.69,3648.03
429,USEP,09 Jan 2005,46,71.04,3548.694
430,USEP,09 Jan 2005,47,69.59,3448.479
431,USEP,09 Jan 2005,48,65.4,3340.059
432,USEP,10 Jan 2005,1,69.59,3249.799
433,USEP,10 Jan 2005,2,65.21,3165.269
434,USEP,10 Jan 2005,3,65.1,3115.042
435,USEP,10 Jan 2005,4,63.02,3069.442
436,USEP,10 Jan 2005,5,61.94,3036.347
437,USEP,10 Jan 2005,6,61.67,3023.331
438,USEP,10 Jan 2005,7,60.94,2998.471
439,USEP,10 Jan 2005,8,60.94,2987.348
440,USEP,10 Jan 2005,9,60.93,2979.321
441,USEP,10 Jan 2005,10,61.58,3008.038
442,USEP,10 Jan 2005,11,63.51,3076.127
443,USEP,10 Jan 2005,12,65.5,3188.335
444,USEP,10 Jan 2005,13,70.77,3306.312
445,USEP,10 Jan 2005,14,75.37,3436.755
446,USEP,10 Jan 2005,15,70.48,3641.872
447,USEP,10 Jan 2005,16,75.68,3888.608
448,USEP,10 Jan 2005,17,76.6,4173.374
449,USEP,10 Jan 2005,18,77.5,4356.294
450,USEP,10 Jan 2005,19,75.82,4468.373
451,USEP,10 Jan 2005,20,77.55,4554.528
452,USEP,10 Jan 2005,21,77.51,4585.431
453,USEP,10 Jan 2005,22,77.61,4624.008
454,USEP,10 Jan 2005,23,77.6,4629.147
455,USEP,10 Jan 2005,24,77.52,4600.55
456,USEP,10 Jan 2005,25,74.29,4535.309
457,USEP,10 Jan 2005,26,74.26,4548.002
458,USEP,10 Jan 2005,27,76.0,4595.938
459,USEP,10 Jan 2005,28,77.18,4637.964
460,USEP,10 Jan 2005,29,75.96,4639.217
461,USEP,10 Jan 2005,30,74.48,4627.338
462,USEP,10 Jan 2005,31,76.26,4621.618
463,USEP,10 Jan 2005,32,75.94,4620.594
464,USEP,10 Jan 2005,33,77.51,4612.955
465,USEP,10 Jan 2005,34,76.43,4573.409
466,USEP,10 Jan 2005,35,74.26,4518.813
467,USEP,10 Jan 2005,36,71.88,4407.828
468,USEP,10 Jan 2005,37,70.56,4329.924
469,USEP,10 Jan 2005,38,70.54,4355.837
470,USEP,10 Jan 2005,39,71.21,4369.912
471,USEP,10 Jan 2005,40,71.19,4326.375
472,USEP,10 Jan 2005,41,71.22,4249.758
473,USEP,10 Jan 2005,42,73.61,4187.384
474,USEP,10 Jan 2005,43,75.25,4107.879
475,USEP,10 Jan 2005,44,73.58,3990.09
476,USEP,10 Jan 2005,45,73.6,3852.292
477,USEP,10 Jan 2005,46,73.23,3723.479
478,USEP,10 Jan 2005,47,65.96,3617.25
479,USEP,10 Jan 2005,48,65.48,3506.703
480,USEP,11 Jan 2005,1,74.27,3406.677
481,USEP,11 Jan 2005,2,70.24,3332.479
482,USEP,11 Jan 2005,3,65.32,3268.873
483,USEP,11 Jan 2005,4,64.07,3216.296
484,USEP,11 Jan 2005,5,62.02,3180.387
485,USEP,11 Jan 2005,6,61.67,3159.026
486,USEP,11 Jan 2005,7,61.0,3134.698
487,USEP,11 Jan 2005,8,60.48,3120.921
488,USEP,11 Jan 2005,9,60.49,3118.466
489,USEP,11 Jan 2005,10,61.67,3148.768
490,USEP,11 Jan 2005,11,63.56,3211.972
491,USEP,11 Jan 2005,12,65.32,3324.92
492,USEP,11 Jan 2005,13,66.13,3437.346
493,USEP,11 Jan 2005,14,70.37,3535.588
494,USEP,11 Jan 2005,15,65.37,3716.362
495,USEP,11 Jan 2005,16,74.3,3976.273
496,USEP,11 Jan 2005,17,75.52,4219.49
497,USEP,11 Jan 2005,18,73.57,4402.327
498,USEP,11 Jan 2005,19,74.21,4501.488
499,USEP,11 Jan 2005,20,76.63,4577.38
500,USEP,11 Jan 2005,21,77.71,4654.793
501,USEP,11 Jan 2005,22,79.0,4703.245
502,USEP,11 Jan 2005,23,78.14,4696.799
503,USEP,11 Jan 2005,24,77.73,4639.376
504,USEP,11 Jan 2005,25,77.3,4620.813
505,USEP,11 Jan 2005,26,77.69,4646.637
506,USEP,11 Jan 2005,27,78.13,4693.385
507,USEP,11 Jan 2005,28,80.67,4728.408
508,USEP,11 Jan 2005,29,79.78,4741.673
509,USEP,11 Jan 2005,30,78.23,4727.3
510,USEP,11 Jan 2005,31,79.28,4720.789
511,USEP,11 Jan 2005,32,78.2,4713.742
512,USEP,11 Jan 2005,33,78.09,4703.653
513,USEP,11 Jan 2005,34,77.94,4684.175
514,USEP,11 Jan 2005,35,77.31,4610.207
515,USEP,11 Jan 2005,36,73.64,4481.121
516,USEP,11 Jan 2005,37,72.33,4422.356
517,USEP,11 Jan 2005,38,72.79,4477.19
518,USEP,11 Jan 2005,39,74.29,4503.521
519,USEP,11 Jan 2005,40,72.71,4359.232
520,USEP,11 Jan 2005,41,75.04,4315.779
521,USEP,11 Jan 2005,42,77.14,4256.422
522,USEP,11 Jan 2005,43,80.66,4174.72
523,USEP,11 Jan 2005,44,87.74,4068.8
524,USEP,11 Jan 2005,45,83.71,3959.127
525,USEP,11 Jan 2005,46,81.62,3828.605
526,USEP,11 Jan 2005,47,75.92,3703.54
527,USEP,11 Jan 2005,48,74.26,3595.129
528,USEP,12 Jan 2005,1,78.05,3490.322
529,USEP,12 Jan 2005,2,70.31,3401.309
530,USEP,12 Jan 2005,3,71.25,3346.028
531,USEP,12 Jan 2005,4,70.18,3285.592
532,USEP,12 Jan 2005,5,66.14,3244.62
533,USEP,12 Jan 2005,6,65.13,3218.194
534,USEP,12 Jan 2005,7,65.12,3205.406
