name,NameGerman,IdKbob,IdDisposal,Disposal,Density,DensityUnit,UBPEmbodied,UBPEoL,TotalEmbodied,TotalEoL,RenewableEmbodied,RenewableEoL,NonRenewableEmbodied,NonRenewableEoL,GHGEmbodied,GHGEoL,ThermalCond
"Light cement stone, expanded clay","Leichtzementstein, Blaehton",2.004,91.07,"Entsorgungsmix, Zement (in Beton) und Mauermoertel",1200,kg,445,26.6,1.51,0.055,0.05,0.002,1.46,0.053,0.407,0.01,NULL
"Light cement stone, natural pumice","Leichtzementstein, Naturbims",2.005,91.07,"Entsorgungsmix, Zement (in Beton) und Mauermoertel",1200,kg,195,26.6,0.4,0.055,0.029,0.002,0.371,0.053,0.214,0.01,NULL
Cinder block,Porenbetonstein,2.006,91.059,"Entsorgungsmix, Backstein",500,kg,323,25.8,0.94,0.05,0.06,0,0.88,0.05,0.41,0.01,0.12
Cement stone,Zementstein,2.007,91.061,"Entsorgungsmix, Beton unbewehrt",1700,kg,108,25.1,0.23,0.05,0.02,0,0.21,0.05,0.12,0.01,0.7
Concrete tile,Betonziegel,3.001,91.059,"Entsorgungsmix, Backstein",2300,kg,187,25.8,0.499,0.052,0.033,0.002,0.466,0.051,0.208,0.009,NULL
Fiber-cement roofing shingle,Faserzement-Dachschindel,3.002,91.07,"Entsorgungsmix, Zement (in Beton) und Mauermoertel",1800,kg,724,26.6,2.87,0.06,0.47,0,2.4,0.05,0.72,0.01,0.8
Fiber cement board large,Faserzementplatte gross,3.003,91.07,"Entsorgungsmix, Zement (in Beton) und Mauermoertel",1800,kg,1000,26.6,3.84,0.06,0.62,0,3.22,0.05,1.08,0.01,0.8
Fiber-cement board,Faserzement-Wellplatte,3.004,91.07,"Entsorgungsmix, Zement (in Beton) und Mauermoertel",1800,kg,700,26.6,2.55,0.055,0.543,0.002,2.01,0.053,0.669,0.01,NULL
Flat glass coated,Flachglas beschichtet,3.005,91.032,"Entsorgung, Gebaeude, Flachglas, in Beseitigung",2500,kg,1340,18.6,4.88,0.068,0.232,0.001,4.65,0.068,1.15,0.01,NULL
Flat glass uncoated,Flachglas unbeschichtet,3.006,91.032,"Entsorgung, Gebaeude, Flachglas, in Beseitigung",2500,kg,1120,18.6,4.13,0.07,0.13,0,4,0.07,1.09,0.01,1
Gypsum fiber board,Gipsfaserplatte,3.007,91.063,"Entsorgungsmix, Gipsfaserplatte",1200,kg,470,17.5,2.48,0.066,0.085,0.001,2.4,0.065,0.527,0.009,NULL
Plasterboard,Gipskartonplatte,3.008,91.064,"Entsorgungsmix, Gipskartonplatte",850,kg,296,17.3,1.36,0.07,0.08,0,1.28,0.07,0.28,0.01,0.25
Plaster wallboard / solid plasterboard,Gips-Wandbauplatte / Vollgipsplatte,3.016,91.069,"Entsorgungsmix, Gips-Wandbauplatte / Vollgipsplatte",1000,kg,326,17.2,1.4,0.07,0.03,0,1.37,0.06,0.3,0.01,0.43
Hard sandstone slab,Hartsandsteinplatte,3.009,91.065,"Entsorgungsmix, Kalksandstein",2500,kg,49.9,25.1,0.291,0.05,0.037,0.002,0.254,0.048,0.025,0.009,NULL
Limestone slab,Kalksteinplatte,3.017,91.065,"Entsorgungsmix, Kalksandstein",2600,kg,53.9,25.1,0.303,0.05,0.023,0.002,0.28,0.048,0.057,0.009,NULL
Ceramic / stoneware plate,Keramik-/Steinzeugplatte,3.01,91.059,"Entsorgungsmix, Backstein",2600,kg,2430,25.8,3.99,0.05,0.23,0,3.76,0.05,0.77,0.01,1.3
Broken gravel,Kies gebrochen,3.011,91.062,"Entsorgungsmix, Betonkies",2000,kg,39.8,25.1,0.04,0.05,0.01,0,0.04,0.05,0.01,0.01,2
Round gravel,Rundkies,3.012,91.062,"Entsorgungsmix, Betonkies",2000,kg,35.9,25.1,0.018,0.05,0.001,0.002,0.017,0.048,0.003,0.009,NULL
Sand,Sand,3.013,91.068,"Entsorgungsmix, Sand",2000,kg,35.9,29.7,0.018,0.066,0.001,0.001,0.017,0.064,0.003,0.011,NULL
Sanitary Ware,Sanitaerkeramik,3.014,91.059,"Entsorgungsmix, Backstein",2000,kg,3000,25.8,11.5,0.052,0.399,0.002,11.1,0.051,2.31,0.009,NULL
Rammed earth,Stampflehm,3.02,91.059,"Entsorgungsmix, Backstein",2000,kg,25.2,14.2,0.08,0.06,0,0,0.08,0.05,0.02,0.01,0.64
Clay tiles,Tonziegel,3.015,91.059,"Entsorgungsmix, Backstein",1700,kg,274,25.8,1.1,0.05,0.03,0,1.07,0.05,0.37,0.01,0.02
Building adhesive / investment mortar mineral,Baukleber/Einbettmoertel mineralisch,4.008,91.1,"Entsorgungsmix, Putz, ausgehaertet",1400,kg,410,17.2,1.7,0.07,0.17,0,1.54,0.06,0.4,0.01,0
Construction adhesive / investment mortar mineral lightweight aggregate,Baukleber/Einbettmoertel mineralisch Leichtzuschlag,4.01,91.1,"Entsorgungsmix, Putz, ausgehaertet",1100,kg,407,17.2,1.77,0.065,0.146,0.001,1.62,0.064,0.418,0.009,NULL
Construction adhesive / investment mortar organic,Baukleber/Einbettmoertel organisch,4.002,91.1,"Entsorgungsmix, Putz, ausgehaertet",1670,kg,982,17.2,4.28,0.07,0.15,0,4.14,0.06,0.75,0.01,0.8
Gypsum lime plaster,Gips-Kalk-Putz,4.017,91.098,"Entsorgungsmix, Gips-Kalk-Putz",925,kg,134,17.2,0.685,0.065,0.063,0.001,0.622,0.064,0.145,0.009,NULL
Plaster / white plaster,Gips-/Weissputz,4.001,91.099,"Entsorgungsmix, Gips-/Weissputz",1100,kg,129,17.2,0.69,0.07,0.06,0,0.63,0.06,0.14,0.01,0.7
Plastic plaster (dispersion plaster),Kunststoffputz (Dispersionsputz),4.003,91.1,"Entsorgungsmix, Putz, ausgehaertet",1540,kg,1210,17.2,5.42,0.065,0.227,0.001,5.19,0.064,0.942,0.009,NULL
Lime-cement / cement-lime plaster,Kalk-Zement/Zement-Kalk-Putz,4.013,91.1,"Entsorgungsmix, Putz, ausgehaertet",1550,kg,220,17.2,0.83,0.07,0.13,0,0.7,0.06,0.24,0.01,1
Clay plaster,Lehmputz,4.004,91.067,"Entsorgungsmix, Mineralischer Putz",1800,kg,43,19.3,0.148,0.032,0.014,0.002,0.134,0.031,0.018,0.005,NULL
Light plaster mineral,Leichtputz mineralisch,4.015,91.1,"Entsorgungsmix, Putz, ausgehaertet",1000,kg,348,17.2,1.39,0.07,0.15,0,1.23,0.06,0.36,0.01,0.2
Silicate plaster (dispersion silicate plaster),Silikatputz (Dispersionssilikatputz),4.011,91.1,"Entsorgungsmix, Putz, ausgehaertet",1880,kg,1200,17.2,5.29,0.065,0.248,0.001,5.04,0.064,0.966,0.009,NULL
Silicone resin plaster,Silikonharzputz,4.012,91.1,"Entsorgungsmix, Putz, ausgehaertet",1670,kg,1390,17.2,6.47,0.07,0.37,0,6.1,0.06,1.11,0.01,0.7
Swamp lime plaster,Sumpfkalkputz,4.016,91.1,"Entsorgungsmix, Putz, ausgehaertet",1350,kg,425,17.2,1.85,0.065,0.112,0.001,1.74,0.064,0.46,0.009,NULL
"Underlay Anhydrite, 60 mm","Unterlagsboden Anhydrit, 60 mm",4.005,91.101,"Entsorgungsmix, Unterlagsboden Anhydrit, 60 mm",2000,kg,128,18.5,0.41,0.07,0.03,0,0.39,0.07,0.08,0.01,0.8
"Underlay cement, 85 mm","Unterlagsboden Zement, 85 mm",4.006,91.102,"Entsorgungsmix, Unterlagsboden Zement, 85 mm",1850,kg,122,17.2,0.25,0.07,0.03,0,0.22,0.06,0.12,0.01,1.4
Thermal insulation plaster EPS,Waermedaemmputz EPS,4.007,91.1,"Entsorgungsmix, Putz, ausgehaertet",250,kg,596,17.2,2.03,0.065,0.135,0.001,1.89,0.064,0.758,0.009,NULL
White cement plaster,Weisszementputz,4.014,91.1,"Entsorgungsmix, Putz, ausgehaertet",1550,kg,284,17.2,1.07,0.065,0.135,0.001,0.938,0.064,0.319,0.009,NULL
Cement plaster,Zementputz,4.009,91.1,"Entsorgungsmix, Putz, ausgehaertet",1550,kg,238,17.2,0.785,0.065,0.121,0.001,0.664,0.064,0.26,0.009,NULL
"Facade, mullion-transom, aluminum / glass","Fassade, Pfosten-Riegel, Alu/Glas",5.008,91.135,"Entsorgung, Fassade, Pfosten-Riegel, Alu/Glas",NULL,m2,242000,7250,823,3.18,66,0.099,757,3.08,163,13.5,NULL
"Facade plate, aluminum composite, 4 mm","Fassadenplatte, Aluverbund, 4 mm",5.022,91.103,"Entsorgungsmix, Fassadenplatte, Aluverbund, 4 mm",7.1,m2,41100,4240,224,0.536,24.5,0.009,199,0.527,35.8,8.58,NULL
"Facade panel, high-pressure laminate panel (HPL), 8.1 mm","Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",5.023,91.106,"Entsorgung, HPL-Fassadenplatten, in Kehrichtverbrennung",11.6,m2,43500,6310,286,1.87,89.7,0.044,196,1.82,33.4,11.1,NULL
"Facade slab, limestone, 30 mm","Fassadenplatte, Kalkstein, 30 mm",5.025,91.065,"Entsorgungsmix, Kalksandstein",78,m2,4210,1960,23.6,3.89,1.77,0.145,21.8,3.75,4.45,0.677,NULL
"Facade panel, plastic fiberglass reinforced (GFK), 1.6 mm","Fassadenplatte, Kunststoff glasfaserverstaerkt (GFK), 1.6 mm",5.024,91.071,"Entsorgung, glasfaserverstaerkter Kunststoff (GFK), in Kehrichtverbrennung",2.4,m2,19600,2460,78.9,0.474,3.65,0.012,75.3,0.462,16.5,4.76,NULL
Window frame aluminum,Fensterrahmen Aluminium,5.004,91.105,"Entsorgungsmix, Fensterrahmen Aluminium",NULL,m2,387000,18600,1810,3.54,216,0.12,1600,3.42,326,36.1,160
"Aluminum window frame, WICLINE 75evo","Fensterrahmen Aluminium, WICLINE 75evo",05.004.01,91.105.01 ,"Entsorgungsmix, Fensterrahmen Aluminium, WICLINE 75evo",NULL,m2,248000,10900,1020,1.64,161,0.047,860,1.59,182,21.4,NULL
Window frame wood,Fensterrahmen Holz,5.005,91.029,"Entsorgung, Gebaeude, Fensterrahmen, Holz, in Beseitigung",NULL,m2,201000,15900,1280,8.22,711,0.14,565,8.09,109,19.6,0.13
Window frame wood-aluminum,Fensterrahmen Holz-Aluminium,5.006,91.03,"Entsorgung, Gebaeude, Fensterrahmen, Holz-Metall, in Beseitigung",NULL,m2,301000,18400,1660,7.89,720,0.14,943,7.75,191,25.7,0.7
Window frame plastic / PVC,Fensterrahmen Kunststoff/PVC,5.007,91.031,"Entsorgung, Gebaeude, Fensterrahmen, Plastik, in Beseitigung",NULL,m2,416000,33200,1560,31.3,66.9,2.42,1490,28.9,228,57.2,1.7
"Double glazing, Ug-value 1.1 W / m2K, thickness 24 mm","Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm",5.001,91.042,"Entsorgungsmix, Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm",NULL,m2,44600,2180,179,1.36,9.51,0.02,170,1.35,39.8,3.88,1.1
"Double glazing, Ug 1.1 W / m2K, thickness 18 mm","Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm",5.009,91.107,"Entsorgungsmix, Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm",NULL,m2,49600,1730,210,1.32,12.3,0.016,198,1.3,44.9,2.98,NULL
"Double glazing, ESG, Ug 1.1 W / m2K","Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K",5.01,91.108,"Entsorgungsmix, Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K",NULL,m2,55300,2180,242,1.36,16.8,0.018,225,1.35,47.2,3.88,NULL
"Double glazing, laminated safety glass, Ug value 1.1 W / m2K","Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K",5.002,91.043,"Entsorgungsmix, Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K",NULL,m2,80100,3900,352,2.08,19.2,0.025,333,2.05,71.1,7.16,NULL
"Double glazing, ESG / VSG, Ug value 1.1 W / m2K","Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K",5.011,91.109,"Entsorgungsmix, Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K",NULL,m2,90800,3900,414,2.08,26.5,0.025,388,2.05,78.4,7.16,NULL
"Insulating glazing 3-fold, Ug-value 0.5 W / m2K, thickness 36 mm","Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm",5.003,91.044,"Entsorgungsmix, Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm",NULL,m2,80100,2980,347,2.01,22,0.025,325,1.99,72.1,5.25,NULL
"Insulating glazing triple, Ug value 0.6 W / m2K, thickness 40 mm","Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",5.012,91.11,"Entsorgungsmix, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",NULL,m2,70900,3450,274,2.06,14.9,0.03,259,2.04,60.7,6.16,0.6
"Insulating glazing triple, tempered safety glass, Ug value 0.6 W / m2K","Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K",5.013,91.111,"Entsorgungsmix, Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K",NULL,m2,92300,3450,399,2.06,29.6,0.027,369,2.04,75.4,6.16,NULL
"Insulating glazing 3-fold, ESG / ESG / ESG, Ug value 0.6 W / m2K","Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K",5.014,91.112,"Entsorgungsmix, Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K",NULL,m2,103000,3450,461,2.06,36.9,0.027,424,2.04,82.7,6.16,NULL
"Insulating glazing triple, VSG, Ug value 0.6 W / m2K","Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K",5.015,91.113,"Entsorgungsmix, Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K",NULL,m2,106000,5170,446,2.78,24.5,0.034,422,2.74,92,9.45,NULL
"Insulating glazing triple, TSG / VSG, Ug value 0.6 W / m2K","Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K",5.016,91.114,"Entsorgungsmix, Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K",NULL,m2,118000,5170,513,2.78,32,0.034,481,2.74,100,9.45,NULL
Plaster base plate resin-bonded 13 mm,Putztraegerplatte kunstharzgebunden 13 mm,5.02,91.116,"Entsorgungsmix, Putztraegerplatte kunstharzgebunden 13 mm",6.3,m2,11000,108,47.7,0.407,3.64,0.004,44.1,0.403,7.95,0.057,NULL
Plaster carrier plate mineral bound 12.5 mm,Putztraegerplatte mineralisch gebunden 12.5 mm,5.021,91.117,"Entsorgungsmix, Putztraegerplatte mineralisch gebunden 12.5 mm",14.4,m2,6970,248,20.7,0.932,2.36,0.009,18.4,0.923,6.05,0.131,NULL
"Sun protection, motorized exhibition gates","Sonnenschutz, Ausstellstoren motorisiert",5.018,91.104,"Entsorgungsmix, Sonnenschutz, Ausstellstoren motorisiert",NULL,m2,140000,831,333,0.479,36,0.031,297,0.448,63.5,1.48,NULL
"Sun protection, motorized louvred blinds","Sonnenschutz, Lamellenstoren motorisiert",5.017,91.115,"Entsorgungsmix, Sonnenschutz, Lamellenstoren motorisiert",NULL,m2,110000,633,295,0.401,32.3,0.028,262,0.374,56.3,1.11,NULL
"Sunscreen, roller shutters motorized","Sonnenschutz, Rollladen motorisiert",5.019,91.118,"Entsorgungsmix, Sonnenschutz, Rollladen motorisiert",NULL,m2,137000,284,376,0.394,44.5,0.029,331,0.365,71.5,0.408,NULL
"Aluminum sheet, bright","Aluminiumblech, blank",6.001,-,Recycling,2690,kg,7300,0,31.9,0,5.29,0,26.7,0,5.62,0,160
"Aluminum profile, bright","Aluminiumprofil, blank",6.002,-,Recycling,2690,kg,6980,0,32.6,0,5.3,0,27.3,0,5.71,0,0
"Aluminum profile, blank, 80% recycled content, WICONA","Aluminiumprofil, blank, 80% Recyclinganteil, WICONA",06.002.01,-,Recycling,2690,kg,4120,0,17,0,3.44,0,13.6,0,2.94,0,NULL
Reinforced steel,Armierungsstahl,6.003,-,Recycling,7850,kg,2860,0,3.76,0,0.21,0,3.55,0,0.68,0,0
Lead,Blei,6.014,-,Recycling,11340,kg,6530,0,4.27,0,0.236,0,4.03,0,1.04,0,NULL
Stainless steel sheet 18/8 bright,Chromnickelstahlblech 18/8 blank,6.004,-,Recycling,7900,kg,6890,0,17.7,0,2.38,0,15.3,0,3.76,0,17
Chromium nickel steel sheet 18/8 tinned,Chromnickelstahlblech 18/8 verzinnt,6.005,-,Recycling,7900,kg,10700,0,25.7,0,2.66,0,23,0,5.45,0,NULL
Chrome steel sheet blank,Chromstahlblech blank,6.006,-,Recycling,7700,kg,5250,0,10.5,0,0.923,0,9.53,0,2.24,0,NULL
Tinned chrome steel sheet,Chromstahlblech verzinnt,6.007,-,Recycling,7700,kg,8990,0,18.4,0,1.2,0,17.2,0,3.93,0,NULL
"Copper sheet, bright","Kupferblech, blank",6.008,-,Recycling,8900,kg,51500,0,10.9,0,1.65,0,9.27,0,2.19,0,NULL
Brass / Baubronzeblech,Messing-/Baubronzeblech,6.009,-,Recycling,8300,kg,47000,0,13.4,0,1.89,0,11.5,0,2.71,0,NULL
"Steel sheet, bright","Stahlblech, blank",6.01,-,Recycling,7850,kg,3570,0,8.05,0,0.294,0,7.75,0,1.83,0,NULL
Galvanized steel sheet,"Stahlblech, verzinkt",6.011,-,Recycling,7850,kg,16100,0,16.7,0,1.05,0,15.7,0,3.51,0,50
"Steel profile, bright","Stahlprofil, blank",6.012,-,Recycling,7850,kg,1000,0,3.71,0,0.25,0,3.46,0,0.73,0,0
Titanium zinc sheet,Titanzinkblech,6.013,-,Recycling,7200,kg,35800,0,20,0,2.59,0,17.4,0,4.04,0,110
"3-layer solid wood panel, PVAc-bound","3-Schicht Massivholzplatte, PVAc-gebunden",7.001,91.048,Entsorgungsmix Dreischichtplatte,470,kg,1280,79.7,12.5,0.05,9.57,0,2.94,0.05,0.41,0.11,1.3
"Glued laminated timber, MF-bonded, wet area","Brettschichtholz, MF-gebunden, Feuchtbereich",7.003,91.047,Entsorgungsmix Brettschichtholz verleimt,470,kg,953,86.9,11.1,0.059,8.7,0.001,2.39,0.058,0.365,0.121,NULL
"Glued laminated timber, MF-bonded, wetland, production Switzerland","Brettschichtholz, MF-gebunden, Feuchtbereich, Produktion Schweiz",07.003.01,91.047,Entsorgungsmix Brettschichtholz verleimt,470,kg,921,86.9,10.9,0.059,8.56,0.001,2.31,0.058,0.315,0.121,NULL
"Glued laminated timber, UF-bound, dry area","Brettschichtholz, UF-gebunden, Trockenbereich",7.002,91.047,Entsorgungsmix Brettschichtholz verleimt,470,kg,908,86.9,10.9,0.06,8.7,0,2.18,0.06,0.33,0.12,1.3
"Glued laminated timber, UF-bound, dry area, production Switzerland","Brettschichtholz, UF-gebunden, Trockenbereich, Produktion Schweiz",07.002.01,91.047,Entsorgungsmix Brettschichtholz verleimt,470,kg,876,86.9,10.7,0.059,8.56,0.001,2.1,0.058,0.276,0.121,NULL
